sym,universe,interval,range,rule,bars,n,winrate,avg_ret,sum_ret,PF,maxDD,wf_flag,wf1_n,wf1_avg,wf1_PF,wf2_n,wf2_avg,wf2_PF,score,is_control
RKLB,book,1h,3mo,B_SUPERTREND,449,7,28.57,-0.0307,-0.2147,0.981,10.1852,FIRST_ONLY,4,0.1199,1.078,3,-0.2314,0.863,-999.0,0
RKLB,book,1h,3mo,HYBRID,449,3,33.33,-0.8959,-2.6877,0.441,4.8102,WEAK_BOTH,0,0.0,0.0,3,-0.8959,0.441,-999.0,0
SPCX,book,1h,3mo,L_RSI50,398,0,0.0,0.0,0.0,0.0,0.0,NO_TRADES,0,0.0,0.0,0,0.0,0.0,-999.0,0
SPCX,book,1h,3mo,L_EMA_RECLAIM,398,0,0.0,0.0,0.0,0.0,0.0,NO_TRADES,0,0.0,0.0,0,0.0,0.0,-999.0,0
SPCX,book,1h,3mo,L_VWAP_RECLAIM,398,5,20.0,-0.8269,-4.1346,0.606,8.8496,SECOND_ONLY,2,-2.7283,0.0,3,0.4407,1.263,-999.0,0
SPCX,book,1h,3mo,B_SUPERTREND,398,14,50.0,-0.0241,-0.338,0.981,9.4415,SECOND_ONLY,6,-1.057,0.302,8,0.7505,1.691,-999.0,0
SPCX,book,1h,3mo,HYBRID,398,0,0.0,0.0,0.0,0.0,0.0,NO_TRADES,0,0.0,0.0,0,0.0,0.0,-999.0,0
SPY,liquid,1d,1y,L_RSI50,251,7,14.29,-0.4358,-3.0506,0.48,5.8622,SECOND_ONLY,4,-1.0216,0.0,3,0.3453,1.583,-999.0,0
SPY,liquid,1d,1y,L_EMA_RECLAIM,251,3,0.0,-0.708,-2.1241,0.0,2.1241,WEAK_BOTH,2,-0.4855,0.0,1,-1.1531,0.0,-999.0,0
SPY,liquid,1d,1y,L_VWAP_RECLAIM,251,2,50.0,0.5192,1.0384,1.586,1.7732,SECOND_ONLY,0,0.0,0.0,2,0.5192,1.586,-999.0,0
SPY,liquid,1d,1y,B_SUPERTREND,251,6,0.0,-0.9483,-5.6896,0.0,5.6896,WEAK_BOTH,4,-1.2076,0.0,2,-0.4296,0.0,-999.0,0
